ICDO3.2	Level	Term	Code reference	obs	See also	See note	Includes	Excludes	Other text
9725/1	Preferred	Hydroa vacciniforme-like lymphoproliferative disorder	NA	NA	NA	NA	NA	NA	NA
9725/1	Synonym	Hydroa vacciniforme-like lymphoma	NA	NA	NA	NA	NA	NA	NA
9726/3	Preferred	Primary cutaneous gamma-delta T-cell lymphoma	(C44._)	NA	NA	NA	NA	NA	NA
9727/3	Preferred	Precursor cell lymphoblastic lymphoma, NOS	NA	NA	(see also M-9835/3)	NA	NA	NA	NA
9727/3	Synonym	Malignant lymphoma, lymphoblastic, NOS	NA	NA	(see also M-9835/3)	NA	NA	NA	NA
9727/3	Synonym	Lymphoblastoma	NA	[obs]	NA	NA	NA	NA	NA
9727/3	Synonym	Malignant lymphoma, convoluted cell	NA	[obs]	NA	NA	NA	NA	NA
9727/3	Related	Blastic NK-cell lymphoma	NA	[obs]	NA	NA	NA	NA	NA
9727/3	Related	Blastic plasmacytoid dendritic cell neoplasm	NA	NA	NA	NA	NA	NA	NA
973	2	Plasma cell neoplasms	NA	NA	NA	NA	NA	NA	NA
9731/3	Preferred	Plasmacytoma, NOS	NA	NA	NA	NA	NA	NA	NA
9731/3	Synonym	Plasma cell tumor	NA	NA	NA	NA	NA	NA	NA
9731/3	Synonym	Plasmacytoma of bone	(C40._, C41._)	NA	NA	NA	NA	NA	NA
9731/3	Synonym	Solitary myeloma	NA	NA	NA	NA	NA	NA	NA
9731/3	Synonym	Solitary plasmacytoma	NA	NA	NA	NA	NA	NA	NA
9732/3	Preferred	Plasma cell myeloma	(C42.1)	NA	NA	NA	NA	NA	NA
9732/3	Synonym	Multiple myeloma	(C42.1)	NA	NA	NA	NA	NA	NA
9732/3	Synonym	Myeloma, NOS	(C42.1)	NA	NA	NA	NA	NA	NA
9732/3	Synonym	Myelomatosis	(C42.1)	NA	NA	NA	NA	NA	NA
9733/3	Preferred	Plasma cell leukemia	(C42.1)	NA	NA	NA	NA	NA	NA
9733/3	Synonym	Plasmacytic leukemia	(C42.1)	NA	NA	NA	NA	NA	NA
9734/3	Preferred	Plasmacytoma, extramedullary	NA	NA	NA	NA	NA	NA	not occurring in bone
9734/3	Synonym	Extraosseous plasmacytoma	NA	NA	NA	NA	NA	NA	NA
9735/3	Preferred	Plasmablastic lymphoma	NA	NA	NA	NA	NA	NA	NA
9737/3	Preferred	ALK positive large B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9738/3	Preferred	HHV8 positive diffuse large B-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9738/3	Synonym	Large B-cell lymphoma arising in HHV8-associated multicentric Castleman disease	NA	NA	NA	NA	NA	NA	NA
974	2	Mast cell neoplasms	NA	NA	NA	NA	NA	NA	NA
9740/1	Preferred	Mastocytoma, NOS	NA	NA	NA	NA	NA	NA	NA
9740/1	Synonym	Mast cell tumor, NOS	NA	NA	NA	NA	NA	NA	NA
9740/1	Related	Cutaneous mastocytosis, NOS	(C44._)	NA	NA	NA	NA	NA	NA
9740/1	Related	Diffuse cutaneous mastocytosis	(C44._)	NA	NA	NA	NA	NA	NA
9740/1	Related	Extracutaneous mastocytoma	NA	NA	NA	NA	NA	NA	NA
9740/1	Related	Solitary mastocytoma of skin	(C44._)	NA	NA	NA	NA	NA	NA
9740/1	Related	Urticaria pigmentosa	NA	NA	NA	NA	NA	NA	NA
9740/3	Preferred	Mast cell sarcoma	NA	NA	NA	NA	NA	NA	NA
9740/3	Synonym	Malignant mast cell tumor	NA	NA	NA	NA	NA	NA	NA
9740/3	Synonym	Malignant mastocytoma	NA	NA	NA	NA	NA	NA	NA
9741/1	Preferred	Indolent systemic mastocytosis	NA	NA	NA	NA	NA	NA	NA
9741/3	Preferred	Malignant mastocytosis	NA	NA	NA	NA	NA	NA	NA
9741/3	Synonym	Systemic tissue mast cell disease	NA	NA	NA	NA	NA	NA	NA
9741/3	Related	Aggressive systemic mastocytosis	NA	NA	NA	NA	NA	NA	NA
9741/3	Related	Systemic mastocytosis with AHNMD	NA	NA	NA	NA	NA	NA	NA
9741/3	Related	Systemic mastocytosis with associated hematological clonal non-mast cell disorder	NA	NA	NA	NA	NA	NA	NA
9742/3	Preferred	Mast cell leukemia	(C42.1)	NA	NA	NA	NA	NA	NA
9749/3	Preferred	Erdheim-Chester disease	NA	NA	NA	NA	NA	NA	NA
975	2	Neoplasms of histiocytes and accessory lymphoid cells	NA	NA	NA	NA	NA	NA	NA
9750/3	Preferred	Malignant histiocytosis	NA	NA	NA	NA	NA	NA	NA
9750/3	Related	Histiocytic medullary reticulosis	NA	[obs]	NA	NA	NA	NA	NA
9751/1	Preferred	Langerhans cell histiocytosis, NOS	NA	NA	NA	NA	NA	NA	NA
9751/1	Related	Langerhans cell histiocytosis, monostotic	NA	NA	NA	NA	NA	NA	NA
9751/1	Related	Langerhans cell histiocytosis, polystotic	NA	NA	NA	NA	NA	NA	NA
9751/3	Preferred	Langerhans cell histiocytosis, disseminated	NA	NA	NA	NA	NA	NA	NA
9751/3	Synonym	Langerhans cell granulomatosis	NA	[obs]	NA	NA	NA	NA	NA
9751/3	Related	Eosinophilic granuloma	NA	NA	NA	NA	NA	NA	NA
9751/3	Related	Acute progressive histiocytosis X	NA	[obs]	NA	NA	NA	NA	NA
9751/3	Related	Histiocytosis X, NOS	NA	[obs]	NA	NA	NA	NA	NA
9751/3	Related	Hand-Schuller-Christian disease	NA	[obs]	NA	NA	NA	NA	NA
9751/3	Related	Letterer-Siwe disease	NA	[obs]	NA	NA	NA	NA	NA
9751/3	Related	Nonlipid reticuloendotheliosis	NA	[obs]	NA	NA	NA	NA	NA
9755/3	Preferred	Histiocytic sarcoma	NA	NA	NA	NA	NA	NA	NA
9755/3	Related	True histiocytic lymphoma	NA	NA	NA	NA	NA	NA	NA
9756/3	Preferred	Langerhans cell sarcoma	NA	NA	NA	NA	NA	NA	NA
9757/3	Preferred	Interdigitating dendritic cell sarcoma	NA	NA	NA	NA	NA	NA	NA
9757/3	Synonym	Interdigitating cell sarcoma	NA	NA	NA	NA	NA	NA	NA
9757/3	Related	Dendritic cell sarcoma, NOS	NA	NA	NA	NA	NA	NA	NA
9757/3	Related	Indeterminate dendritic cell tumor	NA	NA	NA	NA	NA	NA	NA
9758/3	Preferred	Follicular dendritic cell sarcoma	NA	NA	NA	NA	NA	NA	NA
9758/3	Related	Follicular dendritic cell tumor	NA	NA	NA	NA	NA	NA	NA
9759/3	Preferred	Fibroblastic reticular cell tumor	NA	NA	NA	NA	NA	NA	NA
976	2	Immunoproliferative diseases	NA	NA	NA	NA	NA	NA	NA
9760/3	Preferred	Immunoproliferative disease, NOS	NA	NA	NA	NA	NA	NA	NA
9761/1	Preferred	IgM monoclonal gammopathy of undetermined significance	NA	NA	NA	NA	NA	NA	NA
9761/3	Preferred	Waldenstrom macroglobulinemia	(C42.0)	NA	(see also M-9671/3)	NA	NA	NA	NA
9762/3	Preferred	Heavy chain disease, NOS	NA	NA	NA	NA	NA	NA	NA
9762/3	Related	Alpha heavy chain disease	NA	NA	NA	NA	NA	NA	NA
9762/3	Related	Gamma heavy chain disease	NA	NA	NA	NA	NA	NA	NA
9762/3	Synonym	Franklin disease	NA	NA	NA	NA	NA	NA	NA
9762/3	Related	Mu heavy chain disease	NA	NA	NA	NA	NA	NA	NA
9764/3	Preferred	Immunoproliferative small intestinal disease	(C17._)	NA	NA	NA	NA	NA	NA
9764/3	Synonym	Mediterranean lymphoma	NA	NA	NA	NA	NA	NA	NA
9765/1	Preferred	Monoclonal gammopathy of undetermined significance, NOS	NA	NA	NA	NA	NA	NA	NA
9765/1	Synonym	MGUS	NA	NA	NA	NA	NA	NA	NA
9765/1	Synonym	Monoclonal gammopathy, NOS	NA	NA	NA	NA	NA	NA	NA
9766/1	Preferred	Angiocentric immunoproliferative lesion	NA	NA	NA	NA	NA	NA	NA
9766/1	Related	Lymphomatoid granulomatosis, NOS	NA	NA	NA	NA	NA	NA	NA
9766/1	Related	Lymphomatoid granulomatosis, grade 1	NA	NA	NA	NA	NA	NA	NA
9766/1	Related	Lymphomatoid granulomatosis, grade 2	NA	NA	NA	NA	NA	NA	NA
9766/3	Preferred	Lymphomatoid granulomatosis, grade 3	NA	NA	NA	NA	NA	NA	NA
9767/1	Preferred	Angioimmunoblastic lymphadenopathy (AIL)	NA	NA	NA	NA	NA	NA	NA
9767/1	Synonym	Immunoblastic lymphadenopathy (IBL)	NA	[obs]	NA	NA	NA	NA	NA
9768/1	Preferred	T-gamma lymphoproliferative disease	NA	NA	NA	NA	NA	NA	NA
9769/1	Preferred	Immunoglobulin deposition disease	NA	NA	NA	NA	NA	NA	NA
9769/1	Synonym	Primary amyloidosis	NA	NA	NA	NA	NA	NA	NA
9769/1	Synonym	Systemic light chain disease	NA	NA	NA	NA	NA	NA	NA
980-994	2	Leukemias	NA	NA	NA	NA	NA	NA	NA
980	3	Leukemias, NOS	NA	NA	NA	NA	NA	NA	NA
9800/3	Preferred	Leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9800/3	Related	Aleukemic leukemia, NOS	NA	[obs]	NA	NA	NA	NA	NA
9800/3	Related	Chronic leukemia, NOS	NA	[obs]	NA	NA	NA	NA	NA
9800/3	Related	Subacute leukemia, NOS	NA	[obs]	NA	NA	NA	NA	NA
9801/3	Preferred	Acute leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9801/3	Synonym	Blast cell leukemia	NA	NA	NA	NA	NA	NA	NA
9801/3	Synonym	Stem cell leukemia	NA	NA	NA	NA	NA	NA	NA
9801/3	Synonym	Undifferentiated leukemia	NA	NA	NA	NA	NA	NA	NA
9805/3	Preferred	Acute biphenotypic leukemia	NA	NA	NA	NA	NA	NA	NA
9805/3	Related	Acute bilineal leukemia	NA	NA	NA	NA	NA	NA	NA
9805/3	Related	Acute mixed lineage leukemia	NA	NA	NA	NA	NA	NA	NA
9806/3	Preferred	Mixed phenotype acute leukemia with t(9;22)(q34;q11.2); BCR-ABL1	NA	NA	NA	NA	NA	NA	NA
9807/3	Preferred	Mixed phenotype acute leukemia with t(v;11q23); MLL rearranged	NA	NA	NA	NA	NA	NA	NA
9808/3	Preferred	Mixed phenotype acute leukemia, B/myeloid, NOS	NA	NA	NA	NA	NA	NA	NA
9809/3	Preferred	Mixed phenotype acute leukemia, T/myeloid, NOS	NA	NA	NA	NA	NA	NA	NA
981-983	3	Lymphoid leukemias	NA	NA	NA	NA	NA	NA	NA
9811/3	Preferred	B lymphoblastic leukemia/lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9811/3	Synonym	c-ALL	NA	NA	NA	NA	NA	NA	NA
9811/3	Synonym	Common ALL	NA	NA	NA	NA	NA	NA	NA
9811/3	Synonym	Common precursor B ALL	NA	NA	NA	NA	NA	NA	NA
9811/3	Synonym	Pre-B ALL	NA	NA	NA	NA	NA	NA	NA
9811/3	Synonym	Pre-pre-B ALL	NA	NA	NA	NA	NA	NA	NA
9811/3	Synonym	Pro-B ALL	NA	NA	NA	NA	NA	NA	NA
9811/3	Synonym	Precursor B-cell lymphoblastic lymphoma	NA	NA	NA	NA	NA	NA	NA
9811/3	Synonym	Precursor B-cell lymphoblastic leukemia	NA	NA	NA	NA	NA	NA	NA
9811/3	Related	B lymphoblastic leukemia/lymphoma with iAMP21	NA	NA	NA	NA	NA	NA	NA
9812/3	Preferred	B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1	NA	NA	NA	NA	NA	NA	NA
9813/3	Preferred	B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged	NA	NA	NA	NA	NA	NA	NA
9814/3	Preferred	B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)	NA	NA	NA	NA	NA	NA	NA
9815/3	Preferred	B lymphoblastic leukemia/lymphoma with hyperdiploidy	NA	NA	NA	NA	NA	NA	NA
9816/3	Preferred	B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL)	NA	NA	NA	NA	NA	NA	NA
9817/3	Preferred	B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH	NA	NA	NA	NA	NA	NA	NA
9818/3	Preferred	B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)	NA	NA	NA	NA	NA	NA	NA
9819/3	Preferred	B lymphoblastic leukemia/lymphoma, BCR-ABL1-like	NA	NA	NA	NA	NA	NA	NA
9820/3	Preferred	Lymphoid leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9820/3	Related	Lymphatic leukemia, NOS	NA	[obs]	NA	NA	NA	NA	NA
9820/3	Related	Lymphocytic leukemia, NOS	NA	[obs]	NA	NA	NA	NA	NA
9820/3	Related	Aleukemic lymphoid leukemia	NA	[obs]	NA	NA	NA	NA	NA
9820/3	Synonym	Aleukemic lymphatic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9820/3	Synonym	Aleukemic lymphocytic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9820/3	Related	Lymphosarcoma cell leukemia	NA	[obs]	NA	NA	NA	NA	NA
9820/3	Related	Subacute lymphoid leukemia	NA	[obs]	NA	NA	NA	NA	NA
9820/3	Synonym	Subacute lymphatic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9820/3	Synonym	Subacute lymphocytic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9823/1	Preferred	Monoclonal B-cell lymphocytosis, CLL type	NA	NA	NA	NA	NA	NA	NA
9823/3	Preferred	B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma	NA	NA	NA	NA	NA	NA	NA
9823/3	Synonym	Chronic lymphatic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9823/3	Synonym	Chronic lymphocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9823/3	Synonym	Chronic lymphocytic leukemia, B-cell type	NA	NA	NA	NA	includes all variants	NA	NA
9823/3	Synonym	Chronic lymphoid leukemia	NA	[obs]	NA	NA	NA	NA	NA
9823/3	Synonym	Malignant lymphoma, small B lymphocytic, NOS	NA	NA	NA	NA	NA	NA	NA
9823/3	Synonym	Malignant lymphoma, lymphocytic, NOS	NA	[obs]	NA	NA	NA	NA	NA
9823/3	Synonym	Malignant lymphoma, lymphocytic, diffuse, NOS	NA	[obs]	NA	NA	NA	NA	NA
9823/3	Synonym	Malignant lymphoma, small cell, NOS	NA	[obs]	NA	NA	NA	NA	NA
9823/3	Synonym	Malignant lymphoma, small lymphocytic, NOS	NA	NA	NA	NA	NA	NA	NA
9823/3	Synonym	Malignant lymphoma, lymphocytic, well differentiated, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9823/3	Synonym	Malignant lymphoma, small cell diffuse	NA	[obs]	NA	NA	NA	NA	NA
9823/3	Synonym	Malignant lymphoma, small lymphocytic, diffuse	NA	[obs]	NA	NA	NA	NA	NA
9827/3	Preferred	Adult T-cell leukemia/lymphoma (HTLV-1 positive)	NA	NA	NA	NA	includes all variants	NA	NA
9827/3	Synonym	Adult T-cell leukemia	NA	NA	NA	NA	NA	NA	NA
9827/3	Synonym	Adult T-cell lymphoma	NA	NA	NA	NA	NA	NA	NA
9827/3	Synonym	Adult T-cell lymphoma/leukemia	NA	NA	NA	NA	NA	NA	NA
9831/3	Preferred	T-cell large granular lymphocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9831/3	Synonym	Large granular lymphocytosis, NOS	NA	NA	NA	NA	NA	NA	NA
9831/3	Synonym	NK-cell large granular lymphocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9831/3	Synonym	T-cell large granular lymphocytosis	NA	NA	NA	NA	NA	NA	NA
9831/3	Related	Chronic lymphoproliferative disorder of NK cells	NA	NA	NA	NA	NA	NA	NA
9832/3	Preferred	Prolymphocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9833/3	Preferred	Prolymphocytic leukemia, B-cell type	NA	NA	NA	NA	NA	NA	NA
9834/3	Preferred	Prolymphocytic leukemia, T-cell type	NA	NA	NA	NA	NA	NA	NA
9835/3	Preferred	Precursor cell lymphoblastic leukemia, NOS	NA	NA	(see also M-9727/3)	NA	NA	NA	NA
9835/3	Synonym	Acute lymphoblastic leukemia, NOS	NA	NA	(see also M-9727/3)	NA	NA	NA	NA
9835/3	Synonym	Acute lymphoblastic leukemia, L2 type, NOS	NA	NA	NA	NA	NA	NA	NA
9835/3	Synonym	Acute lymphoblastic leukemia-lymphoma, NOS	NA	NA	NA	NA	NA	NA	NA
9835/3	Synonym	Lymphoblastic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9835/3	Synonym	Acute lymphatic leukemia	NA	NA	NA	NA	NA	NA	NA
9835/3	Synonym	Acute lymphocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9835/3	Synonym	Acute lymphoid leukemia	NA	NA	NA	NA	NA	NA	NA
9835/3	Synonym	FAB L1	NA	[obs]	NA	NA	NA	NA	NA
9835/3	Synonym	FAB L2	NA	NA	NA	NA	NA	NA	NA
9835/3	Synonym	Precursor cell lymphoblastic leukemia, not phenotyped	NA	NA	NA	NA	NA	NA	NA
9835/3	Synonym	Acute lymphoblastic leukemia, precursor-cell type	NA	NA	NA	NA	NA	NA	NA
9837/3	Preferred	Precursor T-cell lymphoblastic leukemia	NA	NA	NA	NA	NA	NA	NA
9837/3	Synonym	Cortical T ALL	NA	NA	NA	NA	NA	NA	NA
9837/3	Synonym	Mature T ALL	NA	NA	NA	NA	NA	NA	NA
9837/3	Synonym	Pre-T ALL	NA	NA	NA	NA	NA	NA	NA
9837/3	Synonym	Pro-T ALL	NA	NA	NA	NA	NA	NA	NA
9837/3	Synonym	Precursor T-cell lymphoblastic lymphoma	NA	NA	NA	NA	NA	NA	NA
9837/3	Related	T lymphoblastic leukemia/lymphoma	NA	NA	NA	NA	NA	NA	NA
9837/3	Related	Early T-cell precursor acute lymphoblastic leukemia	NA	NA	NA	NA	NA	NA	NA
984-993	3	Myeloid leukemias	NA	NA	NA	NA	NA	NA	NA
9840/3	Preferred	Acute erythroid leukemia	NA	NA	NA	NA	NA	NA	NA
9840/3	Synonym	Acute myeloid leukemia, M6 type	NA	NA	NA	NA	NA	NA	NA
9840/3	Synonym	Acute erythremia	NA	[obs]	NA	NA	NA	NA	NA
9840/3	Synonym	Acute erythremic myelosis	NA	[obs]	NA	NA	NA	NA	NA
9840/3	Synonym	AML M6	NA	NA	NA	NA	NA	NA	NA
9840/3	Synonym	Di Guglielmo disease	NA	[obs]	NA	NA	NA	NA	NA
9840/3	Synonym	Erythremic myelosis, NOS	NA	NA	NA	NA	NA	NA	NA
9840/3	Synonym	Erythroleukemia	NA	NA	NA	NA	NA	NA	NA
9840/3	Synonym	FAB M6	NA	NA	NA	NA	NA	NA	NA
9840/3	Synonym	M6A	NA	NA	NA	NA	NA	NA	NA
9840/3	Synonym	M6B	NA	NA	NA	NA	NA	NA	NA
9860/3	Preferred	Myeloid leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9860/3	Synonym	Granulocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9860/3	Synonym	Myelocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9860/3	Synonym	Myelogenous leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9860/3	Synonym	Myelomonocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9860/3	Synonym	Non-lymphocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9860/3	Related	Aleukemic myeloid leukemia	NA	[obs]	NA	NA	NA	NA	NA
9860/3	Synonym	Aleukemic granulocytic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9860/3	Synonym	Aleukemic myelogenous leukemia	NA	[obs]	NA	NA	NA	NA	NA
9860/3	Related	Aleukemic monocytic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9860/3	Related	Chronic monocytic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9860/3	Related	Eosinophilic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9860/3	Related	Monocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9860/3	Related	Subacute monocytic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9860/3	Related	Subacute myeloid leukemia	NA	[obs]	NA	NA	NA	NA	NA
9860/3	Synonym	Subacute granulocytic leukemia	NA	[obs]	NA	NA	NA	NA	NA
9860/3	Synonym	Subacute myelogenous leukemia	NA	[obs]	NA	NA	NA	NA	NA
9861/3	Preferred	Acute myeloid leukemia, NOS	NA	NA	(see also M-9930/3)	NA	NA	NA	NA
9861/3	Synonym	Acute granulocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9861/3	Synonym	Acute myelocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9861/3	Synonym	Acute myelogenous leukemia	NA	NA	NA	NA	NA	NA	NA
9861/3	Synonym	Acute non-lymphocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9863/3	Preferred	Chronic myeloid leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9863/3	Synonym	Chronic granulocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9863/3	Synonym	Chronic myelocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9863/3	Synonym	Chronic myelogenous leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9865/3	Preferred	Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214	NA	NA	NA	NA	NA	NA	NA
9866/3	Preferred	Acute promyelocytic leukemia, t(15;17)(q22;q11-12)	NA	NA	NA	NA	NA	NA	NA
9866/3	Synonym	Acute promyelocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9866/3	Synonym	Acute myeloid leukemia, PML/RAR-alpha	NA	NA	NA	NA	NA	NA	NA
9866/3	Synonym	Acute myeloid leukemia, t(15;17)(q22;q11-12)	NA	NA	NA	NA	NA	NA	NA
9866/3	Synonym	Acute promyelocytic leukemia, PML/RAR-alpha	NA	NA	NA	NA	NA	NA	NA
9866/3	Synonym	FAB M3	NA	NA	NA	NA	includes all variants	NA	NA
9867/3	Preferred	Acute myelomonocytic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9867/3	Synonym	FAB M4	NA	NA	NA	NA	NA	NA	NA
9869/3	Preferred	Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1	NA	NA	NA	NA	NA	NA	NA
9870/3	Preferred	Acute basophilic leukemia	NA	NA	NA	NA	NA	NA	NA
9871/3	Preferred	Acute myeloid leukemia with abnormal marrow eosinophils	NA	NA	NA	NA	includes all variants	NA	NA
9871/3	Synonym	Acute myeloid leukemia, CBF-beta/MYH11	NA	NA	NA	NA	NA	NA	NA
9871/3	Synonym	Acute myeloid leukemia, inv(16)(p13;q22)	NA	NA	NA	NA	NA	NA	NA
9871/3	Synonym	Acute myeloid leukemia, t(16;16)(p13;q11)	NA	NA	NA	NA	NA	NA	NA
9871/3	Synonym	Acute myelomonocytic leukemia with abnormal eosinophils	NA	NA	NA	NA	NA	NA	NA
9871/3	Synonym	FAB M4Eo	NA	NA	NA	NA	NA	NA	NA
9872/3	Preferred	Acute myeloid leukemia, minimal differentiation	NA	NA	NA	NA	NA	NA	NA
9872/3	Synonym	Acute myeloblastic leukemia	NA	NA	NA	NA	NA	NA	NA
9872/3	Synonym	FAB M0	NA	NA	NA	NA	NA	NA	NA
9873/3	Preferred	Acute myeloid leukemia without maturation	NA	NA	NA	NA	NA	NA	NA
9873/3	Synonym	FAB M1	NA	NA	NA	NA	NA	NA	NA
9874/3	Preferred	Acute myeloid leukemia with maturation	NA	NA	NA	NA	NA	NA	NA
9874/3	Synonym	FAB M2, NOS	NA	NA	NA	NA	NA	NA	NA
9875/3	Preferred	Chronic myelogenous leukemia, BCR/ABL positive	NA	NA	NA	NA	NA	NA	NA
9875/3	Synonym	Chronic granulocytic leukemia, BCR/ABL	NA	NA	NA	NA	NA	NA	NA
9875/3	Synonym	Chronic granulocytic leukemia, Philadelphia chromosome (Ph1) positive	NA	NA	NA	NA	NA	NA	NA
9875/3	Synonym	Chronic granulocytic leukemia, t(9;22)(q34;q11)	NA	NA	NA	NA	NA	NA	NA
9875/3	Synonym	Chronic myelogenous leukemia, Philadelphia chromosome (Ph1) positive	NA	NA	NA	NA	NA	NA	NA
9875/3	Synonym	Chronic myelogenous leukemia, t(9;22)(q34;q11)	NA	NA	NA	NA	NA	NA	NA
9876/3	Preferred	Atypical chronic myeloid leukemia, BCR/ABL negative	NA	NA	NA	NA	NA	NA	NA
9876/3	Related	Atypical chronic myeloid leukemia, Philadelphia chromosome (Ph1) negative	NA	NA	NA	NA	NA	NA	NA
9877/3	Preferred	Acute myeloid leukemia with mutated NPM1	NA	NA	NA	NA	NA	NA	NA
9878/3	Preferred	Acute myeloid leukemia with biallelic mutation of CEBPA	NA	NA	NA	NA	NA	NA	NA
9879/3	Preferred	Acute myeloid leukemia with mutated RUNX1	NA	NA	NA	NA	NA	NA	NA
9891/3	Preferred	Acute monocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9891/3	Synonym	Monoblastic leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
9891/3	Synonym	Acute monoblastic leukemia	NA	NA	NA	NA	NA	NA	NA
9891/3	Synonym	FAB M5	NA	NA	NA	NA	includes all variants	NA	NA
9891/3	Related	Acute monoblastic and monocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9895/3	Preferred	Acute myeloid leukemia with myelodysplasia-related changes	NA	NA	NA	NA	NA	NA	NA
9895/3	Synonym	Acute myeloid leukemia with multilineage dysplasia	NA	NA	NA	NA	NA	NA	NA
9895/3	Synonym	Acute myeloid leukemia with prior myelodysplastic syndrome	NA	NA	NA	NA	NA	NA	NA
9895/3	Synonym	Acute myeloid leukemia without prior myelodysplastic syndrome	NA	NA	NA	NA	NA	NA	NA
9896/3	Preferred	Acute myeloid leukemia, t(8;21)(q22;q22)	NA	NA	NA	NA	NA	NA	NA
9896/3	Synonym	Acute myeloid leukemia, AML1(CBF-alpha)/ETO	NA	NA	NA	NA	NA	NA	NA
9896/3	Synonym	Acute myeloid leukemia with t(8;21)(q22;q22); RUNX1-RUNX1T1	NA	NA	NA	NA	NA	NA	NA
9896/3	Synonym	FAB M2, AML1(CBF-alpha)/ETO	NA	NA	NA	NA	NA	NA	NA
9896/3	Synonym	FAB M2, t(8;21)(q22;q22)	NA	NA	NA	NA	NA	NA	NA
9897/3	Preferred	Acute myeloid leukemia, 11q23 abnormalities	NA	NA	NA	NA	NA	NA	NA
9897/3	Synonym	Acute myeloid leukemia, MLL	NA	NA	NA	NA	NA	NA	NA
9897/3	Synonym	Acute myeloid leukemia with t(9;11)(p22;q23); MLLT3-MLL	NA	NA	NA	NA	NA	NA	NA
9898/1	Preferred	Transient abnormal myelopoiesis	NA	NA	NA	NA	NA	NA	NA
9898/3	Preferred	Myeloid leukemia associated with Down syndrome	NA	NA	NA	NA	NA	NA	NA
9910/3	Preferred	Acute megakaryoblastic leukemia	NA	NA	NA	NA	NA	NA	NA
9910/3	Synonym	Megakaryocytic leukemia	NA	NA	NA	NA	NA	NA	NA
9910/3	Synonym	FAB M7	NA	NA	NA	NA	NA	NA	NA
9911/3	Preferred	Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1	NA	NA	NA	NA	NA	NA	NA
9912/3	Preferred	Acute myeleoid leukemia with BCR-ABL1	NA	NA	NA	NA	NA	NA	NA
9920/3	Preferred	Therapy-related myeloid neoplasm	NA	NA	NA	NA	NA	NA	NA
9920/3	Synonym	Therapy-related acute myeloid leukemia, NOS	NA	NA	NA	NA	NA	NA	NA
